ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE
1	Arawa	AXE	barí	barí	b a r í	b a r í	217	217	AXE			
28	Banawa	AXE	bari	bari	b a r i	b a r i	217	217	AXE			
295	Deni	AXE	bari	bari	b a r i	b a r i	217	217	AXE			
637	Jamamadi	AXE	bari	bari	b a r i	b a r i	217	217	AXE			
908	Jarawara	AXE	bari	bari	b a r i	b a r i	217	217	AXE			
3457	Kulina	AXE	dzami / baɾi	dzami	dz a m i	dz a m i	180	5	AXE		YES	
4567	Kulina	AXE	dzami / baɾi	baɾi	b a ɾ i	b a ɾ i	217	217	AXE			
5166	Sorowaha	AXE	baaɾi	baaɾi	b aː ɾ i	b aː ɾ i	217	217	AXE			
2	Arawa	GOOD	amoza	amoza	a m o z a	a m o z a	8	8	BE.GOOD			
34	Banawa	GOOD	amosa	amosa	a m o s a	a m o s a	8	8	BE.GOOD			
301	Deni	GOOD	amotsʰi	amotsʰi	a m o tsʰ i	a m o tsʰ i	8	8	BE.GOOD			
640	Jamamadi	GOOD	amosa	amosa	a m o s a	a m o s a	8	8	BE.GOOD			
914	Jarawara	GOOD	amosa	amosa	a m o s a	a m o s a	8	8	BE.GOOD			
10228	Paumari	GOOD	dʒaha / makʰani	dʒaha	dʒ a h a	dʒ a h a	806	763	BE.GOOD			
10230	Paumari	GOOD	dʒaha / makʰani	makʰani	m a kʰ a n i	m a kʰ a n i	805	762	BE.GOOD			
3	Arawa	FIRE	ʃihú	ʃihú	ʃ i h ú	ʃ i h ú	259	259	FIRE			
65	Banawa	FIRE	jiɸo	jifo	j i f o	j i f o	259	259	FIRE			
340	Deni	FIRE	jipho	jipho	j i pʰ o	j i pʰ o	259	259	FIRE			
669	Jamamadi	FIRE	jiɸo	jiɸo	j i ɸ o	j i ɸ o	259	259	FIRE			
963	Jarawara	FIRE	jiɸo	jiɸo	j i ɸ o	j i ɸ o	259	259	FIRE			
1323	Kulina	FIRE	jipʰo	jipʰo	j i pʰ o	j i pʰ o	259	259	FIRE			
1659	Paumari	FIRE	siho	siho	s i h o	s i h o	259	259	FIRE			
5144	Sorowaha	FIRE	abi	abi	a b i	a b i	1251	1251	FIRE			
4	Arawa	FISH	abaigaua	abaigaua	a b a i g a u a	a b a i g a u a	201	201	FISH			
66	Banawa	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
247	Banawa	FISH	korobo / siraba	korobo	k o r o b o	k o r o b o	122	122	FISH			
278	Banawa	FISH	korobo / siraba	siraba	s i r a b a	s i r a b a	164	164	FISH			
341	Deni	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
582	Deni	FISH	korobo	korobo	k o r o b o	k o r o b o	122	122	FISH			
670	Jamamadi	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
854	Jamamadi	FISH	korobo / siraba	korobo	k o r o b o	k o r o b o	122	122	FISH			
888	Jamamadi	FISH	korobo / siraba	siraba	s i r a b a	s i r a b a	164	164	FISH			
964	Jarawara	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
1214	Jarawara	FISH	korobo / siraba	korobo	k o r o b o	k o r o b o	122	122	FISH			
1250	Jarawara	FISH	korobo / siraba	siraba	s i r a b a	s i r a b a	164	164	FISH			
1324	Kulina	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
1596	Kulina	FISH	kʰoɾobo	kʰoɾobo	kʰ o ɾ o b o	kʰ o ɾ o b o	122	122	FISH			
1660	Paumari	FISH	abaisana	abaisana	a b a i s a n a	a b a i s a n a	201	201	FISH			
1828	Paumari	FISH	siraba	siraba	s i r a b a	s i r a b a	164	164	FISH			
1861	Sorowaha	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
5030	Sorowaha	FISH	aaba	aaba	aː b a	aː b a - - - - -	201	201	FISH			
5	Arawa	HOUSE	zami	zami	z a m i	z a m i - -	254	254	HOUSE			
365	Deni	HOUSE	jamari	jamari	j a m a r i	j a m a r i	254	254	HOUSE			
1990	Sorowaha	HOUSE	uuda	uuda	uː d a	uː d a	1272	1272	HOUSE			
6	Arawa	LAKE	daku	daku	d a k u	d a k u	47	47	LAKE			
374	Deni	LAKE	korija	korija	k o r i j a	k o r i j a	46	46	LAKE			
1004	Jarawara	LAKE	rako	rako	r a k o	r a k o	47	47	LAKE			
1366	Kulina	LAKE	koɾija / koɾidza	koɾija	k o ɾ i j a	k o ɾ i j a	46	46	LAKE			
