# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS
#
1219	Jarawara	ABIU	sowa	sowa	s o w a	ABIU	1229	1229
1600	Kulina	ABIU	waitso	waitso	w a i ts o	ABIU	1230	1230
#
10038	Sorowaha	ABOVE	ahjadaha / tɨhɨmɨ	ahjadaha	a h j a d a h a	ABOVE	658	617
10082	Sorowaha	ABOVE	ahjadaha / tɨhɨmɨ	tɨhɨmɨ	t ɨ h ɨ m ɨ	ABOVE	714	657
#
27	Banawa	ACAI PALM	ɸare	ɸare	ɸ a r e	AÇAÍ	311	311
636	Jamamadi	ACAI PALM	ɸare	ɸare	ɸ a r e	AÇAÍ	311	311
907	Jarawara	ACAI PALM	ɸare	ɸare	ɸ a r e	AÇAÍ	311	311
1271	Kulina	ACAI PALM	paɾaʔi	paɾaʔi	p a ɾ a ʔ i	AÇAÍ	311	311
1839	Sorowaha	ACAI PALM	haɾami	haɾami	h a ɾ a m i	AÇAÍ	311	311
#
283	Banawa	AGOUTI	sinama	sinama	s i n a m a	AGOUTI	170	170
623	Deni	AGOUTI	tsʰinama	tsʰinama	tsʰ i n a m a	AGOUTI	170	170
892	Jamamadi	AGOUTI	sinama	sinama	s i n a m a	AGOUTI	170	170
1255	Jarawara	AGOUTI	sinama	sinama	s i n a m a	AGOUTI	170	170
1628	Kulina	AGOUTI	tsʰinama	tsʰinama	tsʰ i n a m a	AGOUTI	170	170
#
898	Jarawara	ALL	naɸi	naɸi	n a ɸ i	ALL	1231	1231
10080	Sorowaha	ALL	tumimaɾɨ	tumimaɾɨ	t u m i m a ɾ ɨ	ALL	712	655
#
629	Jamamadi	ALLIGATOR	ona	ona	o n a	ALLIGATOR	308	308
899	Jarawara	ALLIGATOR	ona	ona	o n a	ALLIGATOR	308	308
1835	Sorowaha	ALLIGATOR	ona	ona	o n a	ALLIGATOR	308	308
#
900	Jarawara	ANIMAL	bani	bani	b a n i	ANIMAL	318	318
1262	Kulina	ANIMAL	bani / banitsiɾi	bani	b a n i	ANIMAL	318	318
1263	Kulina	ANIMAL	bani / banitsiɾi	banitsiɾi	b a n i + ts i ɾ i	ANIMAL ?	318	318 492
1944	Sorowaha	ANIMAL	igatɨ / iigʲatɨ	igatɨ	i g a t ɨ	ANIMAL	73	73
5157	Sorowaha	ANIMAL	igatɨ / iigʲatɨ	iigʲatɨ	iː gʲ a t ɨ	ANIMAL	73	73
#
23	Banawa	ANT	jimo / maɸo	jimo	j i m o	ANT	227	227
24	Banawa	ANT	jimo / maɸo	maɸo	m a ɸ o	ANT	358	344
291	Deni	ANT	jomo / mapo	jomo	j o m o	ANT	227	227
292	Deni	ANT	jomo / mapo	mapo	m a p o	ANT	358	344
554	Deni	ANT	kaposhiri / meʔi	karakara	k a p o s h i r i	ANT.SP.	102	102
596	Deni	ANT	kaposhiri / meʔi	meʔi	m e ʔ i	ANT.SP.	134	134
632	Jamamadi	ANT	maɸo	maɸo	m a ɸ o	ANT	358	344
864	Jamamadi	ANT	meme / takasiri	meme	m e m e	ANT.SP.	134	134
902	Jarawara	ANT	jimo / maɸo	jimo	j i m o	ANT	227	227
903	Jarawara	ANT	jimo / maɸo	maɸo	m a ɸ o	ANT	358	344
1226	Jarawara	ANT	mai / takasiri	mai	m a i	ANT.SP.	134	134
1265	Kulina	ANT	datsʰa	datsʰa	d a tsʰ a	ANT	359	353
1266	Kulina	ANT	jomo / mapo	jomo	j o m o	ANT	227	227
1267	Kulina	ANT	jomo / mapo	mapo	m a p o	ANT	358	344
1605	Kulina	ANT	mɛʔi	mɛʔi	m ɛ ʔ i	ANT.SP.	134	134
1837	Sorowaha	ANT	dasaɾi	dasaɾi	d a s a ɾ i	ANT	359	353
1999	Jarawara	ANT	mai / takasiri	takasiri	t a k a s i r i	ANT.SP.	179	179
2000	Jamamadi	ANT	meme / takasiri	takasiri	t a k a s i r i	ANT.SP.	179	179
