ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAIDS	LEXSTATIDS
1219	Jarawara	ABIU	sowa	sowa	s o w a	ABIU	1229	1229	3 7 6 7	AXBZ	SUWA	4	4.S.C 4.U.V 4.W.C 4.A.V	2.0 1.5 1.75 0.8	sowa	0	1	1
1600	Kulina	ABIU	waitso	waitso	w a i ts o	ABIU	1230	1230	6 7 7 2 7	AXYBZ	WAICU	5	5.W.C 5.A.V 5.I.V 5.C.C 5.U.V	2.0 1.5 1.3 1.75 0.8	waitso	0	2	2
10038	Sorowaha	ABOVE	ahjadaha / tɨhɨmɨ	ahjadaha	a h j a d a h a	ABOVE	658	617	7 3 6 7 1 7 3 7	XBCYBYBZ	AHJATAHA	7	7.A.V 7.H.C 7.J.C 7.A.V 7.T.C 7.A.V 7.H.C 7.A.V	1.5 1.75 1.5 1.3 1.75 1.3 1.75 0.8	ahjadaha	0	6	6
10082	Sorowaha	ABOVE	ahjadaha / tɨhɨmɨ	tɨhɨmɨ	t ɨ h ɨ m ɨ	ABOVE	714	657	1 7 3 7 4 7	AXBYBZ	TIHIMI	7	7.T.C 7.I.V 7.H.C 7.I.V 7.M.C 7.I.V	2.0 1.5 1.75 1.3 1.75 0.8	tɨhɨmɨ	0	7	7
10156	Jarawara	ABOVE	neme	neme	n e m e	ABOVE	761	723	4 7 4 7	AXBZ	NEME	4	4.N.C 4.E.V 4.M.C 4.E.V	2.0 1.5 1.75 0.8	neme	1	4	4
10157	Deni	ABOVE	nemehene	nemehene	n e m e + h e n e	ABOVE ?	761	723 724	4 7 4 7 9 3 7 4 7	AXBZ_AXBZ	NEME_HENE	2	2.N.C 2.E.V 2.M.C 2.E.V 2._._ 2.H.C 2.E.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	neme+hene	0	4 5	4 5
27	Banawa	ACAI PALM	ɸare	ɸare	ɸ a r e	AÇAÍ	311	311	3 7 5 7	AXBZ	BARE	1	1.B.C 1.A.V 1.R.C 1.E.V	2.0 1.5 1.75 0.8	ɸare	0	10	10
636	Jamamadi	ACAI PALM	ɸare	ɸare	ɸ a r e	AÇAÍ	311	311	3 7 5 7	AXBZ	BARE	3	3.B.C 3.A.V 3.R.C 3.E.V	2.0 1.5 1.75 0.8	ɸare	0	10	10
907	Jarawara	ACAI PALM	ɸare	ɸare	ɸ a r e	AÇAÍ	311	311	3 7 5 7	AXBZ	BARE	4	4.B.C 4.A.V 4.R.C 4.E.V	2.0 1.5 1.75 0.8	ɸare	0	10	10
1271	Kulina	ACAI PALM	paɾaʔi	paɾaʔi	p a ɾ a ʔ i	AÇAÍ	311	311	1 7 5 7 1 7	AXBYBZ	PARAHI	5	5.P.C 5.A.V 5.R.C 5.A.V 5.H.C 5.I.V	2.0 1.5 1.75 1.3 1.75 0.8	paɾaʔi	0	10	10
