ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	EDITID	SCAID	INFOMAP	LEXSTATID	COGNATES
1219	Jarawara	ABIU	sowa	sowa	s o w a	s o w a	1229	1229	ABIU			Pouteria caimito	3 7 6 7	AXBZ	SUWA	5	5.S.C 5.U.V 5.W.C 5.A.V	2.0 1.5 1.75 0.8	sowa	0	1	1	1	1	1	1
1600	Kulina	ABIU	waitso	waitso	w a i ts o	w a i ts o	1230	1230	ABIU			Pouteria caimito	6 7 7 2 7	AXYBZ	WAICU	6	6.W.C 6.A.V 6.I.V 6.C.C 6.U.V	2.0 1.5 1.3 1.75 0.8	waitso	0	2	2	2	2	2	2
10038	Sorowaha	ABOVE	ahjadaha / tɨhɨmɨ	ahjadaha	a h j a d a h a	a h j a d a h a	658	617	ABOVE				7 3 6 7 1 7 3 7	XBCYBYBZ	AHJATAHA	8	8.A.V 8.H.C 8.J.C 8.A.V 8.T.C 8.A.V 8.H.C 8.A.V	1.5 1.75 1.5 1.3 1.75 1.3 1.75 0.8	ahjadaha	0	5	5	5	4	5	5
10082	Sorowaha	ABOVE	ahjadaha / tɨhɨmɨ	tɨhɨmɨ	t ɨ h ɨ m ɨ	t ɨ h ɨ m ɨ	714	657	ABOVE				1 7 3 7 4 7	AXBYBZ	TIHIMI	8	8.T.C 8.I.V 8.H.C 8.I.V 8.M.C 8.I.V	2.0 1.5 1.75 1.3 1.75 0.8	tɨhɨmɨ	0	6	6	6	5	6	6
10156	Jarawara	ABOVE	neme	neme	n e m e	n e m e	761	723	ABOVE				4 7 4 7	AXBZ	NEME	5	5.N.C 5.E.V 5.M.C 5.E.V	2.0 1.5 1.75 0.8	neme	1	3	4	3	3	3	3
10157	Deni	ABOVE	nemehene	nemehene	n e m e + h e n e	n e m e + h e n e	761	723 724	ABOVE ?				4 7 4 7 9 3 7 4 7	AXBZ_AXBZ	NEME_HENE	3	3.N.C 3.E.V 3.M.C 3.E.V 3._._ 3.H.C 3.E.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	neme+hene	0	3	3	3	3	3	3
27	Banawa	ACAI PALM	ɸare	ɸare	ɸ a r e	ɸ a r e - -	311	311	AÇAÍ				3 7 5 7	AXBZ	BARE	2	2.B.C 2.A.V 2.R.C 2.E.V	2.0 1.5 1.75 0.8	ɸare	0	7	7	7	6	7	7
636	Jamamadi	ACAI PALM	ɸare	ɸare	ɸ a r e	ɸ a r e - -	311	311	AÇAÍ				3 7 5 7	AXBZ	BARE	4	4.B.C 4.A.V 4.R.C 4.E.V	2.0 1.5 1.75 0.8	ɸare	0	7	7	7	6	7	7
907	Jarawara	ACAI PALM	ɸare	ɸare	ɸ a r e	ɸ a r e - -	311	311	AÇAÍ				3 7 5 7	AXBZ	BARE	5	5.B.C 5.A.V 5.R.C 5.E.V	2.0 1.5 1.75 0.8	ɸare	0	7	7	7	6	7	7
1271	Kulina	ACAI PALM	paɾaʔi	paɾaʔi	p a ɾ a ʔ i	p a ɾ a ʔ i	311	311	AÇAÍ				1 7 5 7 1 7	AXBYBZ	PARAHI	6	6.P.C 6.A.V 6.R.C 6.A.V 6.H.C 6.I.V	2.0 1.5 1.75 1.3 1.75 0.8	paɾaʔi	0	7	11	7	6	7	7
