# Wordlist

# DATA
ID	DOCULECT	CONCEPT	FORM	VALUE	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	BORROWING	NOTES
#
587	Deni	(Indian) Person	madi	madi	m a d i	m a d i	125	125	(INDIAN).PERSON		
857	Jamamadi	(Indian) Person	madi	madi	m a d i	m a d i	125	125	(INDIAN).PERSON		
1217	Jarawara	(Indian) Person	mati	mati	m a t i	m a t i	125	125	(INDIAN).PERSON		
1598	Kulina	(Indian) Person	madiha	madiha	m a d i h a	m a d i h a	125	125	(INDIAN).PERSON		
1971	Sorowaha	(Indian) Person	madi	madi	m a d i	m a d i	125	125	(INDIAN).PERSON		also group of people
#
272	Banawa	(bitter) manioc	fowa	fowa	f o w a	f o w a	156	156	(BITTER).MANIOC		
611	Deni	(bitter) manioc	poʔo	poʔo	p o ʔ o	p o ʔ o	156	156	(BITTER).MANIOC		
881	Jamamadi	(bitter) manioc	fowa	fowa	f o w a	f o w a	156	156	(BITTER).MANIOC		
1244	Jarawara	(bitter) manioc	fowa	fowa	f o w a	f o w a	156	156	(BITTER).MANIOC		
1619	Kulina	(bitter) manioc	poʔo	poʔo	p o ʔ o	p o ʔ o	156	156	(BITTER).MANIOC		
#
270	Banawa	(his) wife	fadi	fadi	f a d i	f a d i	154	154	(HIS).WIFE		(his) wife
610	Deni	(his) wife	panadi	panadi	p a n a d i	p a n a d i	154	154	(HIS).WIFE		
879	Jamamadi	(his) wife	fadi	fadi	f a d i	f a d i	154	154	(HIS).WIFE		(his) wife
1242	Jarawara	(his) wife	fati	fati	f a t i	f a t i	154	154	(HIS).WIFE		his wife
#
221	Banawa	(shoot with) blow-gun	karabowa	karabowa	k a r a b o w a	k a r a b o w a	104	104	BLOW-GUN		
556	Deni	(shoot with) blow-gun	karibaha	karibaha	k a r i b a h a	k a r i b a h a	104	104	BLOW-GUN		
829	Jamamadi	(shoot with) blow-gun	karabowa	karabowa	k a r a b o w a	k a r a b o w a	104	104	BLOW-GUN		
1182	Jarawara	(shoot with) blow-gun	karabowa	karabowa	k a r a b o w a	k a r a b o w a	104	104	BLOW-GUN		
1576	Kulina	(shoot with) blow-gun	karibehe	karibehe	k a r i b e h e	k a r i b e h e	104	104	BLOW-GUN		
1953	Sorowaha	(shoot with) blow-gun	karokoba	karokoba	k a r o k o b a	k a r o k o b a	104	104	BLOW-GUN		
#
993	Jarawara	I	owa	owa	o w a	o w a	340	340	I		
1355	Kulina	I	owa	owa	o w a	o w a	340	340	I		
#
94	Banawa	Leaf	afe	afe	a f e	a f e	11	11	LEAF		
376	Deni	Leaf	apha	apha	a p h a	a p h a	11	11	LEAF		
694	Jamamadi	Leaf	afe	afe	a f e	a f e	11	11	LEAF		
1006	Jarawara	Leaf	afe	afe	a f e	a f e	11	11	LEAF		
1368	Kulina	Leaf	apha	apha	a p h a	a p h a	11	11	LEAF		
1683	Paumari	Leaf	afa	afa	a f a	a f a	11	11	LEAF		
1874	Sorowaha	Leaf	aha	aha	a h a	a h a	11	11	LEAF		
#
369	Deni	abdomen	jehe	jehe	j e h e	j e h e	0		ABDOMEN		uterus, stomach, big round thing
1677	Paumari	abdomen	jaha	jaha	j a h a	j a h a	0		ABDOMEN		
#
1219	Jarawara	abiurana	sowa	sowa	s o w a	s o w a	0		ABIURANA		covering several trees of genus Lucuma
1600	Kulina	abiurana	waiso	waiso	w a i s o	w a i s o	0		ABIURANA		covering several trees of genus Lucuma
#
1590	Kulina	accompaniment to food	tasha	tasha	t a s h a	t a s h a	0	409	unknown6		
#
283	Banawa	agouti (cutia)	sinama	sinama	s i n a m a	s i n a m a	170	170	AGOUTI.(CUTIA)		
623	Deni	agouti (cutia)	shinama	shinama	s h i n a m a	s h i n a m a	170	170	AGOUTI.(CUTIA)		
892	Jamamadi	agouti (cutia)	sinama	sinama	s i n a m a	s i n a m a	170	170	AGOUTI.(CUTIA)		
