ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Arawa-27_axe-1,,Arawa,27_axe,barí,barí,b a r i,,ehrenreich1897materialien,,,,,AXE,217,217
Banawa-27_axe-1,,Banawa,27_axe,bari,bari,b a r i,,ladefoged1997phonetic,,,,,AXE,217,217
Deni-27_axe-1,,Deni,27_axe,bari,bari,b a r i,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,AXE,217,217
Jamamadi-27_axe-1,,Jamamadi,27_axe,bari,bari,b a r i,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,AXE,217,217
Jarawara-27_axe-1,,Jarawara,27_axe,bari,bari,b a r i,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,AXE,217,217
Kulina-27_axe-1,,Kulina,27_axe,dzami / baɾi,dzami,dz a m i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,AXE,180,5
Kulina-27_axe-2,,Kulina,27_axe,dzami / baɾi,baɾi,b a ɾ i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,AXE,217,217
Sorowaha-27_axe-1,,Sorowaha,27_axe,baaɾi,baaɾi,b aː ɾ i,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,AXE,217,217
Katawishi-27_axe-1,,Katawishi,27_axe,toɲhi,toɲhi,t o ɲ h i,,adelaar2007katawixi;tastevin1920notes,,,,,AXE,853,810
ProtoArawan-27_axe-1,,ProtoArawan,27_axe,bari,bari,b a r i,,dixon2004proto,,,,,AXE,217,217
Paumari-27_axe-1,,Paumari,27_axe,dʒori,dʒori,dʒ o r i,,dixon2004proto;chapman1998dicionario,,,,,AXE,1053,1010
Arasairi-27_axe-1,,Arasairi,27_axe,janej,janej,j a n e j,,aza1933arasairi,,,,,AXE,1202,1168
Paumari_1833-27_axe-1,,Paumari_1833,27_axe,dʒiuri,dʒiuri,dʒ i u r i,,,,,,,AXE,1053,1010
Arawa-240_good-1,,Arawa,240_good,amoza,amoza,a m o z a,,ehrenreich1897materialien,,,,,BE.GOOD,8,8
Banawa-240_good-1,,Banawa,240_good,amosa,amosa,a m o s a,,ladefoged1997phonetic,,,,,BE.GOOD,8,8
Deni-240_good-1,,Deni,240_good,amotsʰi,amotsʰi,a m o tsʰ i,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,BE.GOOD,8,8
Jamamadi-240_good-1,,Jamamadi,240_good,amosa,amosa,a m o s a,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,BE.GOOD,8,8
Jarawara-240_good-1,,Jarawara,240_good,amosa,amosa,a m o s a,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,BE.GOOD,8,8
Paumari-240_good-1,,Paumari,240_good,dʒaha / makʰani,dʒaha,dʒ a h a,,dixon2004proto;chapman1998dicionario,,,,,BE.GOOD,806,763
Paumari-240_good-2,,Paumari,240_good,dʒaha / makʰani,makʰani,m a kʰ a n i,,dixon2004proto;chapman1998dicionario,,,,,BE.GOOD,805,762
Amarakaeri-240_good-1,,Amarakaeri,240_good,ndak,ndak,n/d a k,,adelaar2000propuesta;van2014argument;vanlinden2019harakmbut;van2019nominalization;van2020construction;van2016classifier;tripp1995diccionario;chávez1984skizze,,,,,GOOD,914,874
ProtoArawan-240_good-1,,ProtoArawan,240_good,amotsʰi,amotsʰi,a m o tsʰ i,,dixon2004proto,,,,,BE.GOOD,8,8
Kanamari-240_good-1,,Kanamari,240_good,nuk,nuk,n u k,,silva2011fonologia;adelaar2000propuesta;magalhaes2018kanamari;queixalos2007ergatividad,,,,,BE.GOOD,914,874
KatukinaBia-240_good-1,,KatukinaBia,240_good,nuk,nuk,n u k,,anjos2011fonologia;adelaar2000propuesta;rivet1920katukina;adelaar2007katawixi,,,,,BE.GOOD,914,874
Katawishi-240_good-1,,Katawishi,240_good,ahã,ahã,a h ã,,adelaar2007katawixi;tastevin1920notes,,,,,BE.GOOD,806,763
Arasairi-240_good-1,,Arasairi,240_good,dakue,dakue,d a k + ue,,aza1933arasairi,,,,,GOOD NEGATIVE,914,874 938
Kulina-240_good-1,,Kulina,240_good,bika,bika,b i k a,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,BE.GOOD,1468,354
Apurina-240_good-1,,Apurina,240_good,hareka,hareka,h a r e k a,,,,,,,BE.GOOD,1712,1705
Sapiteri-240_good-1,,Sapiteri,240_good,wandak,wandak,w a + n/d a k,,,,,,,NOMINALIZER GOOD,914,1598 874
Arawa-202_fire-1,,Arawa,202_fire,ʃihú,ʃihú,ʃ i h u,,ehrenreich1897materialien,,,,,FIRE,259,259
Banawa-202_fire-1,,Banawa,202_fire,jiɸo,jifo,j i f o,,ladefoged1997phonetic,,,,,FIRE,259,259
Deni-202_fire-1,,Deni,202_fire,jipho,jipho,j i pʰ o,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,FIRE,259,259
Jamamadi-202_fire-1,,Jamamadi,202_fire,jiɸo,jiɸo,j i ɸ o,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,FIRE,259,259
Jarawara-202_fire-1,,Jarawara,202_fire,jiɸo,jiɸo,j i ɸ o,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,FIRE,259,259
Kulina-202_fire-1,,Kulina,202_fire,jipʰo,jipʰo,j i pʰ o,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,FIRE,259,259
Paumari-202_fire-1,,Paumari,202_fire,siho,siho,s i h o,,dixon2004proto;chapman1998dicionario,,,,,FIRE,259,259
Sorowaha-202_fire-1,,Sorowaha,202_fire,abi,abi,a b i,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,FIRE,1251,1251
Katawishi-202_fire-1,,Katawishi,202_fire,nanhi,nanhi,n a n h i,,adelaar2007katawixi;tastevin1920notes,,,,,FIRE,860,817
ProtoArawan-202_fire-1,,ProtoArawan,202_fire,jipho,jipho,j i pʰ o,,dixon2004proto,,,,,FIRE,259,259
Paumari_1833-202_fire-1,,Paumari_1833,202_fire,tʃiho,tʃiho,tʃ i h o,,,,,,,FIRE,259,259
Arasairi-202_fire-1,,Arasairi,202_fire,taak,taak,t aa k,,aza1933arasairi,,,,,FIRE,1482,1462
Apurina-202_fire-1,,Apurina,202_fire,ʃãmɨna,ʃãmɨna,ʃ ã m ɨ n a,,,,,,,FIRE,1713,1706
Toyeri-202_fire-1,,Toyeri,202_fire,tak,tak,t a k,,peck1979toyeri,,,,,FIRE,1482,1462
Sapiteri-202_fire-1,,Sapiteri,202_fire,tak,tak,t a k,,,,,,,FIRE,1482,1462
Arawa-206_fish-1,,Arawa,206_fish,abaigaua,abaigaua,a b a + i g a u a,,ehrenreich1897materialien,,,,,FISH ?,201,201 1472
Banawa-206_fish-1,,Banawa,206_fish,aba,aba,a b a,,ladefoged1997phonetic,,,,,FISH,201,201
Deni-206_fish-1,,Deni,206_fish,aba,aba,a b a,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,FISH,201,201
Jamamadi-206_fish-1,,Jamamadi,206_fish,aba,aba,a b a,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,FISH,201,201
Jarawara-206_fish-1,,Jarawara,206_fish,aba,aba,a b a,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,FISH,201,201
Kulina-206_fish-1,,Kulina,206_fish,aba,aba,a b a,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,FISH,201,201
Paumari-206_fish-1,,Paumari,206_fish,abaisana / dʒuriru / siraba,abaisana,a b a + i s a n a,,dixon2004proto;chapman1998dicionario,,,,,FISH ?,201,201 1473
Sorowaha-206_fish-1,,Sorowaha,206_fish,aba,aba,a b a,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,FISH,201,201
Sorowaha-206_fish-2,,Sorowaha,206_fish,aaba,aaba,aː b a,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,FISH,201,201
ProtoArawan-206_fish-1,,ProtoArawan,206_fish,aba,aba,a b a,,dixon2004proto,,,,,FISH,201,201
Amarakaeri-206_fish-1,,Amarakaeri,206_fish,mbiʔigŋ,mbiʔigŋ,m/b i ʔ i g ŋ,,adelaar2000propuesta;van2014argument;vanlinden2019harakmbut;van2019nominalization;van2020construction;van2016classifier;tripp1995diccionario;chávez1984skizze,,,,,FISH,912,872
Paumari-206_fish-2,,Paumari,206_fish,abaisana / dʒuriru / siraba,dʒuriru,dʒ u r i r u,,dixon2004proto;chapman1998dicionario,,,,,FISH,1018,974
Paumari-206_fish-3,,Paumari,206_fish,abaisana / dʒuriru / siraba,siraba,s i r + a b a,,dixon2004proto;chapman1998dicionario,,,,,? FISH,1491,1471 201
Paumari_1833-206_fish-1,,Paumari_1833,206_fish,abaisana,abaisana,a b a + i s a n a,,,,,,,FISH ?,201,201 1473
Apurina-206_fish-1,,Apurina,206_fish,ʃimakɨ,ʃimakɨ,ʃ i m a k ɨ,,,,,,,FISH,1715,1707
Arawa-287_house-1,,Arawa,287_house,zami,zami,z a m i,,ehrenreich1897materialien,,,,,HOUSE,254,254
Banawa-287_house-1,,Banawa,287_house,tabora,tabora,t a b o r a,,ladefoged1997phonetic,,,,,BED,370,408
Deni-287_house-1,,Deni,287_house,jamari,jamari,j a m a r i,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,HOUSE,254,254
Jamamadi-287_house-1,,Jamamadi,287_house,tabora,tabora,t a b o r a,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,BED,370,408
Jarawara-287_house-1,,Jarawara,287_house,tabora,tabora,t a b o r a,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,BED,370,408
Sorowaha-287_house-1,,Sorowaha,287_house,uuda,uuda,uː d a,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,HOUSE,1272,1272
Katawishi-287_house-1,,Katawishi,287_house,kah,kah,k a h,,adelaar2007katawixi;tastevin1920notes,,,,,HOUSE,863,821
Amarakaeri-287_house-1,,Amarakaeri,287_house,hak,hak,h a k,,adelaar2000propuesta;van2014argument;vanlinden2019harakmbut;van2019nominalization;van2020construction;van2016classifier;tripp1995diccionario;chávez1984skizze,,,,,HOUSE,922,881
ProtoArawan-287_house-1,,ProtoArawan,287_house,jamari,jamari,j a m a r i,,dixon2004proto,,,,,HOUSE,254,254
Paumari-287_house-1,,Paumari,287_house,gora,gora,g o r a,,dixon2004proto;chapman1998dicionario,,,,,HOUSE,1023,979
Banawa-287_house-2,,Banawa,287_house,jobe,jobe,j o b e,,ladefoged1997phonetic,,,,,HOUSE,1130,1087
Arasairi-287_house-1,,Arasairi,287_house,jahak,jahak,j a h a k,,aza1933arasairi,,,,,HOUSE,922,881
Kulina-287_house-1,,Kulina,287_house,ni / oza,ni,n i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,HOME,1577,1558
Kulina-287_house-2,,Kulina,287_house,ni / oza,oza,o z a,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,HOUSE,1711,1704
Apurina-287_house-1,,Apurina,287_house,aiko,aiko,ai k o,,,,,,,HOUSE,1714,1708
Toyeri-287_house-1,,Toyeri,287_house,hakjo,hakjo,h a k j o,,peck1979toyeri,,,,,HOUSE,922,881
Sapiteri-287_house-1,,Sapiteri,287_house,hakjo,hakjo,h a k j o,,,,,,,HOUSE,922,881
Arawa-317_lake-1,,Arawa,317_lake,daku,daku,d a k u,,ehrenreich1897materialien,,,,,LAKE,355,174
Deni-317_lake-1,,Deni,317_lake,korija,korija,k o r i j a,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,LAKE,46,46
Jarawara-317_lake-1,,Jarawara,317_lake,wara,wara,w a r a,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,LAKE,1117,539
Kulina-317_lake-1,,Kulina,317_lake,koɾija / koɾidza,koɾija,k o ɾ i j a,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,LAKE,46,46
Kulina-317_lake-2,,Kulina,317_lake,koɾija / koɾidza,koɾidza,k o ɾ i dz a,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,LAKE,46,46
Paumari-317_lake-1,,Paumari,317_lake,ɗako,ɗako,ɗ a k o,,dixon2004proto;chapman1998dicionario,,,,,LAKE,355,174
Sorowaha-317_lake-1,,Sorowaha,317_lake,taki,taki,t a k i,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,LAKE,355,174
ProtoArawan-317_lake-1,,ProtoArawan,317_lake,ɗako,ɗako,ɗ a k o,,dixon2004proto,,,,,LAKE,355,174
Paumari_1833-317_lake-1,,Paumari_1833,317_lake,daku,daku,d a k u,,,,,,,LAKE,355,174
Arasairi-317_lake-1,,Arasairi,317_lake,bajako,bajako,b a j a k o,,aza1933arasairi,,,,,LAKE,355,174
Apurina-317_lake-1,,Apurina,317_lake,ipowa,ipowa,i p o w a,,,,,,,LAKE,1716,1709
Jamamadi-317_lake-1,,Jamamadi,317_lake,wara,wara,w a r a,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,LAKE,1117,539
Sapiteri-317_lake-1,,Sapiteri,317_lake,bajako,bajako,m/b a j a k o,,,,,,,LAKE,355,174
Arawa-352_man-1,,Arawa,352_man,makuidá,makuidá,m a k u i d a,,ehrenreich1897materialien,,,,,MAN.(ADULT.MALE),289,289
Banawa-352_man-1,,Banawa,352_man,maki,maki,m a k i,,ladefoged1997phonetic,,,,,MAN.(ADULT.MALE),289,289
Deni-352_man-1,,Deni,352_man,makhi / dzabitsu,dzabitsu,dz a b i ts u,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,MAN.(ADULT.MALE),384,365
Deni-352_man-2,,Deni,352_man,makhi / dzabitsu,makhi,m a kʰ i,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,MAN.(ADULT.MALE),289,289
Jamamadi-352_man-1,,Jamamadi,352_man,makiti,maki,m a k i t i,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,MAN.(ADULT.MALE),289,289
Jarawara-352_man-1,,Jarawara,352_man,makiti,maki,m a k i t i,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,MAN.(ADULT.MALE),289,289
Kulina-352_man-1,,Kulina,352_man,makʰi,makʰi,m a kʰ i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,MAN.(ADULT.MALE),289,289
Paumari-352_man-1,,Paumari,352_man,makhira,makhira,m a kʰ i r a,,dixon2004proto;chapman1998dicionario,,,,,MAN.(ADULT.MALE),289,289
Sorowaha-352_man-1,,Sorowaha,352_man,imeki,imeki,i m e k i,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,MAN.(ADULT.MALE),289,289
Katawishi-352_man-1,,Katawishi,352_man,bøtso,bøtso,b ø ts o,,adelaar2007katawixi;tastevin1920notes,,,,,MAN.(ADULT.MALE),384,365
ProtoArawan-352_man-1,,ProtoArawan,352_man,makhira,makhira,m a kʰ i r a,,dixon2004proto,,,,,MAN.(ADULT.MALE),289,289
