ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Semantic_Field
1_abiu,ABIU,,,,
2_above,ABOVE,1741,ABOVE,,SPATIAL_RELATIONS
3_acaipalm,ACAI PALM,2437,ACAI PALM,,AGRICULTURE_AND_VEGETATION
4_agouti,AGOUTI,313,AGOUTI,,ANIMALS
5_aimara,AIMARA,,,,
6_all,ALL,98,ALL,,QUANTITY
7_alligator,ALLIGATOR,1581,ALLIGATOR,,ANIMALS
8_amazonriverdolphin,AMAZON RIVER DOLPHIN,,,,ANIMALS
9_anacondawaterboa,ANACONDA (WATER BOA),896,ANACONDA (WATER BOA),,ANIMALS
12_animal,ANIMAL,619,ANIMAL,,ANIMALS
13_ant,ANT,587,ANT,,ANIMALS
14_antspecies,ANT (SPECIES),,,,ANIMALS
15_anteater,ANTEATER,181,ANTEATER,,ANIMALS
16_anus,ANUS,1935,ANUS,,THE_BODY
17_apuna,APUNÃ,,,,
18_aracua,ARACUÃ,,,,ANIMALS
19_arm,ARM,1673,ARM,,THE_BODY
20_armadillo,ARMADILLO,1885,ARMADILLO,,ANIMALS
21_arrive,ARRIVE,1387,ARRIVE,,MOTION
22_arrow,ARROW,977,ARROW,,WARFARE_AND_HUNTING
23_aruana,ARUANÃ,,,,
24_ash,ASH,646,ASH,,THE_PHYSICAL_WORLD
25_awake,AWAKE,825,AWAKE,,THE_BODY
26_axe,AXE,677,AXE,,BASIC_ACTIONS_AND_TECHNOLOGY
27_back,BACK,1291,BACK,,THE_BODY
28_bacuri,BACURI,,,,
29_bad,BAD,1292,BAD,,EMOTIONS_AND_VALUES
30_bamboo,BAMBOO,1927,BAMBOO,,AGRICULTURE_AND_VEGETATION
31_banana,BANANA,868,BANANA,,AGRICULTURE_AND_VEGETATION
32_bark,BARK,1204,BARK,,AGRICULTURE_AND_VEGETATION
33_bat,BAT,1793,BAT,,ANIMALS
34_bathe,BATHE,138,BATHE,,THE_BODY
35_be,BE,1579,BE,,MISCELLANEOUS_FUNCTION_WORDS
36_bealive,BE ALIVE,1422,BE ALIVE,,THE_BODY
37_beangry,BE ANGRY,2223,BE ANGRY,,EMOTIONS_AND_VALUES
38_behungry,BE HUNGRY,1533,BE HUNGRY,,FOOD_AND_DRINK
39_bead,BEAD,1860,BEAD,,CLOTHING_AND_GROOMING
40_beak,BEAK,73,BEAK,,THE_BODY
41_beautiful,BEAUTIFUL,1427,BEAUTIFUL,,EMOTIONS_AND_VALUES
43_bed,BED,1663,BED,,THE_HOUSE
44_bee,BEE,665,BEE,,ANIMALS
45_beetle,BEETLE,2242,BEETLE,,ANIMALS
46_belch,BELCH,2245,BELCH,,BASIC_ACTIONS_AND_TECHNOLOGY
47_belly,BELLY,1251,BELLY,,THE_BODY
48_beloworunder,BELOW OR UNDER,1485,BELOW OR UNDER,,SPATIAL_RELATIONS
49_bench,BENCH,2584,BENCH,,THE_HOUSE
50_big,BIG,1202,BIG,,SPATIAL_RELATIONS
51_bigleafcalathea,BIG LEAF CALATHEA,,,,AGRICULTURE_AND_VEGETATION
52_bird,BIRD,937,BIRD,,ANIMALS
53_birdspecies,BIRD (SPECIES),,,,ANIMALS
54_bite,BITE,1403,BITE,,THE_BODY
55_bitter,BITTER,887,BITTER,,SENSE_PERCEPTION
56_bittermanioc,BITTER MANIOC,,,,AGRICULTURE_AND_VEGETATION
57_black,BLACK,163,BLACK,,SENSE_PERCEPTION
58_blackfrontednunbird,BLACK-FRONTED NUNBIRD,,,,ANIMALS
59_blood,BLOOD,946,BLOOD,,THE_BODY
60_blowofwind,BLOW (OF WIND),175,BLOW (OF WIND),,MOTION
61_blowwithmouth,BLOW (WITH MOUTH),176,BLOW (WITH MOUTH),,BASIC_ACTIONS_AND_TECHNOLOGY
62_blowgun,BLOWGUN,432,BLOWGUN,,WARFARE_AND_HUNTING
63_blue,BLUE,837,BLUE,,SENSE_PERCEPTION
64_blueorgreen,BLUE OR GREEN,2382,BLUE OR GREEN,,SENSE_PERCEPTION
65_blueandyellowmacawaraararauna,BLUE-AND-YELLOW MACAW (Ara ararauna),3927,BLUE-AND-YELLOW MACAW (Ara ararauna),,ANIMALS
66_bone,BONE,1394,BONE,,THE_BODY
67_bow,BOW,994,BOW,,WARFARE_AND_HUNTING
68_box,BOX,1465,BOX,,MODERN_WORLD
69_boy,BOY,1366,BOY,,KINSHIP
70_branch,BRANCH,1531,BRANCH,,AGRICULTURE_AND_VEGETATION
71_brazilnutbertholletiaexcelsa,BRAZIL NUT (Bertholletia excelsa),,,,FOOD_AND_DRINK
72_breakdestroyorgetdestroyed,BREAK (DESTROY OR GET DESTROYED),680,BREAK (DESTROY OR GET DESTROYED),,BASIC_ACTIONS_AND_TECHNOLOGY
73_breast,BREAST,1402,BREAST,,THE_BODY
74_breathe,BREATHE,1407,BREATHE,,THE_BODY
75_bright,BRIGHT,679,BRIGHT,,SENSE_PERCEPTION
76_bring,BRING,692,BRING,,MOTION
78_brotherinlawofman,BROTHER-IN-LAW (OF MAN),2380,BROTHER-IN-LAW (OF MAN),,KINSHIP
79_brycongenus,BRYCON (GENUS),,,,
80_burn,BURN,2102,BURN,,BASIC_ACTIONS_AND_TECHNOLOGY
81_burninjury,BURN (INJURY),3622,BURN (INJURY),,THE_BODY
82_butterfly,BUTTERFLY,1791,BUTTERFLY,,ANIMALS
83_buttocks,BUTTOCKS,834,BUTTOCKS,,THE_BODY
84_caiman,CAIMAN,2438,CAIMAN,,ANIMALS
85_calm,CALM,258,CALM,,THE_PHYSICAL_WORLD
86_cangati,CANGATI,,,,
87_canoe,CANOE,1970,CANOE,,MOTION
88_capuchinmonkey,CAPUCHIN MONKEY,,,,ANIMALS
89_capybara,CAPYBARA,314,CAPYBARA,,ANIMALS
90_carafish,CARÁ (FISH),,,,ANIMALS
91_carry,CARRY,700,CARRY,,BASIC_ACTIONS_AND_TECHNOLOGY
92_cashew,CASHEW,2441,CASHEW,,AGRICULTURE_AND_VEGETATION
93_catch,CATCH,702,CATCH,,MOTION
94_caterpillar,CATERPILLAR,2247,CATERPILLAR,,ANIMALS
95_catfish,CATFISH,3777,CATFISH,,ANIMALS
96_cedar,CEDAR,,,,AGRICULTURE_AND_VEGETATION
97_chameleon,CHAMELEON,1555,CHAMELEON,,ANIMALS
98_cheek,CHEEK,1730,CHEEK,,THE_BODY
99_chest,CHEST,1592,CHEST,,THE_BODY
100_chicken,CHICKEN,1318,CHICKEN,,ANIMALS
101_child,CHILD,2099,CHILD,,KINSHIP
102_chin,CHIN,1510,CHIN,,THE_BODY
103_choke,CHOKE,129,CHOKE,,FOOD_AND_DRINK
104_chop,CHOP,155,CHOP,,BASIC_ACTIONS_AND_TECHNOLOGY
105_cicada,CICADA,2353,CICADA,,ANIMALS
107_clothes,CLOTHES,1895,CLOTHES,,CLOTHING_AND_GROOMING
108_cloud,CLOUD,1489,CLOUD,,THE_PHYSICAL_WORLD
109_coaticoatimundi,COATI (COATIMUNDI),2389,COATI (COATIMUNDI),,ANIMALS
110_cockroach,COCKROACH,1575,COCKROACH,,ANIMALS
111_cold,COLD,1287,COLD,,SENSE_PERCEPTION
