GLOTTOCODE	NAME	ISO_CODE	LATITUDE	LONGITUDE	GLOTTOLOG_FAMILY	TRESOLDI_GENUS	WALS_GENUS	WALS_SAMPLES100	WALS_SAMPLES200	AUTOTYP_STOCK	AUTOTYP_MBRANCH	AUTOTYP_SBRANCH	AUTOTYP_SSBRANCH	AUTOTYP_LSBRANCH
3adt1234	3Ad-Tekles				Afro-Asiatic	Semitic								
aala1237	Aalawa				Austronesian	Oceanic								
aant1238	Aantantara				Nuclear Trans New Guinea	Eastern Highlands								
aari1239	Aari	aiw	5.95034	36.5721	South Omotic	South Omotic	South Omotic	False	False					
aari1240	Aariya	aay			Bookkeeping									
aasa1238	Aasax	aas	-4.00679	36.8648	Afro-Asiatic	Southern Cushitic								
aasd1234	Aasdring				Indo-European	Germanic								
aata1238	Aatasaara				Nuclear Trans New Guinea	Eastern Highlands								
abaa1238	Rngaba				Sino-Tibetan	Bodic								
abab1239	Ababda				Afro-Asiatic	Beja								
abad1240	Abadzex				Abkhaz-Adyge	Northwest Caucasian								
abad1241	Abadi	kbt	-9.03389	146.992	Austronesian	Oceanic								
abag1245	Abaga	abg	-6.12028	145.665	Nuclear Trans New Guinea	Eastern Highlands								
abai1239	Abai				Austronesian	North Borneo								
abai1240	Abai Sungai	abf	5.55394	118.306	Austronesian	North Borneo								
abai1241	Abai Tubu-Abai Sembuak		3.524226	116.162455	Austronesian	North Borneo								
abak1242	Abak				Atlantic-Congo	Cross River								
abak1243	Abaka				Austronesian	Northern Luzon								
abal1238	Abaletti				Yele	Yele								
abam1239	Abam				Eastern Trans-Fly	Western Fly								
aban1242	Abanyom	abm	6.30619	8.63055	Atlantic-Congo	Bantoid								
aban1243	Abancay				Quechuan	Quechuan								
abar1238	Mungbam	mij	6.5805	10.2267	Atlantic-Congo	Bantoid								
abau1245	Abau	aau	-3.97222	141.324	Sepik	Upper Sepik	Upper Sepik	False	False	Sepik	Sepik	Sepik	Sepik	Sepik
abaw1238	Abawa				Atlantic-Congo	Nupoid								
abay1238	Abayongo				Atlantic-Congo	Cross River								
abaz1241	Abaza	abq	44.25	42.0	Abkhaz-Adyge	Northwest Caucasian	Northwest Caucasian	False	False	West Caucasian	Abkhazian-Ubykh	Abkhazian-Ubykh	Abkhazian-Ubykh	Abkhaz-Abaza
abbe1238	Abbey-Ve				Atlantic-Congo	Kwa								
abbr1238	Abbruzzesi				Indo-European	Indic								
abda1238	'Abd Al-Kuri				Afro-Asiatic	Semitic								
abed1238	Abedju-Azaki				Central Sudanic	Moru-Ma'di								
abee1242	Abé	aba	5.59682	-4.38497	Atlantic-Congo	Kwa								
abee1243	Abe (Anyin)				Atlantic-Congo	Kwa								
aben1247	Abeng				Sino-Tibetan	Bodo-Garo								
aben1248	A'beng				Sino-Tibetan	Bodo-Garo								
aben1249	Abenlen Ayta	abp	15.4131	120.2	Austronesian	Central Luzon								
abgu1238	Abgue				Afro-Asiatic	East Chadic								
abid1235	Abidji	abi	5.65656	-4.58421	Atlantic-Congo	Kwa	Kwa	False	False	Kwa	Kwa	Kwa	Kwa	Kwa
abie1238	Abiem				Nilotic	Nilotic								
abig1238	Abigar				Nilotic	Nilotic								
abil1238	Abiliang				Nilotic	Nilotic								
abin1242	Abini				Atlantic-Congo	Cross River								
abin1243	Abinomn	bsa	-2.92281	138.891		Abinomn								
abip1241	Abipon	axb	-29.0	-61.0	Guaicuruan	South Guaicuruan	South Guaicuruan	False	True	Guaicuruan	Guaicuruan	Guaicuruan	Guaicuruan	Guaicuruan
abis1238	Aewa	ash	-1.284096	-75.084405		Aewa								
abka1238	Abkar				Maban	Maban								
abkh1244	Abkhazian	abk	43.056218	41.159115	Abkhaz-Adyge	Northwest Caucasian	Northwest Caucasian	True	True	West Caucasian	Abkhazian-Ubykh	Abkhazian-Ubykh	Abkhazian-Ubykh	Abkhaz-Abaza
able1237	Ableg-Salegseg				Austronesian	Northern Luzon								
abom1238	Abom	aob	-8.42448	142.842	Anim	Marind Proper								
abon1238	Abon	abo	6.90621	10.8769	Atlantic-Congo	Bantoid								
aboo1241	Abo (Bokyi)				Atlantic-Congo	Bantoid								
aboo1242	Abo				Atlantic-Congo	Igboid								
abou1238	Abou Charib				Tamaic	Taman								
abra1237	Abra-De-Ilog				Austronesian	North Mangyan								
abro1238	Abron	abr	7.72094	-2.50289	Atlantic-Congo	Kwa								
abru1239	Abruzzese-Calabrian-Molisean Romani				Indo-European	Indic								
absh1238	Absheron				Indo-European	Iranian								
abua1244	Abua	abn	4.83057	6.61492	Atlantic-Congo	Cross River								
abua1245	Abu' Arapesh	aah	-3.461612	142.917031	Nuclear Torricelli	Kombio-Arapesh								
abui1241	Abui	abz	-8.31058	124.588	Timor-Alor-Pantar	Greater Alor	Greater Alor	False	False	Timor-Alor-Pantar	Alor-Pantar	Alor	Alor	Alor
abuj1237	Abujmaria				Dravidian	South-Central Dravidian								
abul1238	Abuldugu				Nilotic	Nilotic								
abun1252	Abun	kgr	-0.57073	132.416		Abun	North-Central Bird's Head	False	False	West Papuan	West Papuan	West Papuan	West Papuan	West Papuan
abun1253	Abun Je				Abun	Abun								
abun1254	Abun Tat				Abun	Abun								
abun1255	Abun Ji				Abun	Abun								
abur1243	Abure	abu	5.21534	-3.64123	Atlantic-Congo	Kwa								
abur1244	Abureni	mgj	4.62301	6.50634	Atlantic-Congo	Cross River								
abus1238	Abu Sinun				Kadugli-Krongo	Kadugli								
abuu1241	Abu	ado	-4.24027	144.474	Lower Sepik-Ramu	Ramu				Torricelli	Kombio	Arapesh	Arapesh	Arapesh
abzh1238	Abzhui				Abkhaz-Adyge	Northwest Caucasian								
acad1238	Acadian				Indo-European	Romance								
acat1239	Acatepec Me'phaa	tpx	17.1034	-99.0602	Otomanguean	Subtiaba-Tlapanec								
acat1240	Acatepec				Otomanguean	Subtiaba-Tlapanec								
acch1238	Acchami				Indo-European	Indic								
acha1249	Longchuan Achang	acn	24.3479	97.7438	Sino-Tibetan	Burmese-Lolo	Burmese-Lolo	False	False	Sino-Tibetan	Lolo-Burmese	Burmish	Burmish	Burmish
acha1250	Achagua	aca	4.38649	-72.2005	Arawakan	Inland Northern Arawakan	Inland Northern Arawakan	False	False	Arawakan	Arawakan	Arawakan	Arawakan	Arawakan
ache1244	Ache	yif	24.152	102.446	Sino-Tibetan	Burmese-Lolo								
ache1245	Acheron	acz	10.8827	30.3187	Narrow Talodi	Talodi								
ache1246	Aché	guq	-25.5865	-56.4697	Tupian	Tupi-Guaraní	Tupi-Guaraní	False	False	Tupian	Tupi-Guaraní	Tupi-Guaraní	Tupi-Guaraní	Tupi-Guaraní
achi1247	Achik				Sino-Tibetan	Bodo-Garo								
achi1255	A'chick				Sino-Tibetan	Bodo-Garo								
achi1256	Achi	acr	15.073	-90.3513	Mayan	Mayan	Mayan	False	False					
achi1257	Acehnese	ace	3.90757	96.6032	Austronesian	Malayo-Sumbawan	Malayo-Sumbawan	False	False	Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	Aceh-Chamic	Aceh-Chamic
achi1258	Achi', Cubulco	acc			Bookkeeping					Mayan	Quichean-Mamean (Eastern Maya)	Quichean	Quichean	Quichean
acht1238	Achterhoeks	act	52.021	6.47521	Indo-European	Germanic								
achu1247	Achumawi	acv	41.0979	-121.191	Palaihnihan	Palaihnihan	Palaihnihan	False	False	Palaihninan	Palaihninan	Palaihninan	Palaihninan	Palaihninan
achu1248	Achuar-Shiwiar	acu	-2.82646	-77.2641	Chicham	Jivaroan	Jivaroan	False	False	Jivaroan	Jivaroan	Jivaroan	Jivaroan	Jivaroan
achu1249	Achuar				Chicham	Jivaroan								
acii1238	Aci				Nuclear Trans New Guinea	Madang								
acod1234	Acodi				Nuclear Trans New Guinea	Dani								
acol1236	Acoli	ach	3.57738	32.5147	Nilotic	Nilotic	Nilotic	False	False	Nilotic	Western Nilotic	Lwo	Southern Lwo	Southern Lwo
acom1246	Acoma				Keresan	Keresan								
acro1239	Acroá	acs	-12.594	-40.21445	Nuclear-Macro-Je	Ge-Kaingang								
adaa1238	Ada				Atlantic-Congo	Kwa								
adab1235	Adabe	adb	-8.22674	125.576	Bookkeeping									
adai1235	Adai	xad	31.6314	-92.0059		Adai								
adam1238	Adamorobe Sign Language	ads	5.834	-0.151	Sign Language	Sign Languages	Sign Languages	False	False	Sign Language Adamorobe	Sign Language Adamorobe	Sign Language Adamorobe	Sign Language Adamorobe	Sign Language Adamorobe
adam1253	Adamawa Fulfulde	fub	8.140326	13.077338	Atlantic-Congo	Northern Atlantic	Northern Atlantic	False	False	North Atlantic	North Atlantic	North Atlantic	North Atlantic	North Atlantic
adan1247	Adangme	ada	5.9437	0.13243	Atlantic-Congo	Kwa				Kwa	Kwa	Kwa	Kwa	Kwa
adan1248	Adangbe	adq	6.50546	0.727155	Atlantic-Congo	Kwa								
adan1249	Adan				Atlantic-Congo	Kwa								
adan1250	Adang (Lundayeh)				Austronesian	North Borneo								
adan1251	Adang	adn	-8.18958	124.448	Timor-Alor-Pantar	Greater Alor	Greater Alor	False	False	Timor-Alor-Pantar	Alor-Pantar	Alor	Alor	Alor
adap1234	Adap	adp	27.141	90.3369	Bookkeeping									
adar1242	Adarawa				Afro-Asiatic	West Chadic								
adas1235	Adasen	tiu	17.8187	120.905	Austronesian	Malayo-Polynesian								
adel1244	Adele	ade	8.16975	0.619185	Atlantic-Congo	Kwa								
aden1241	Adeni				Afro-Asiatic	Semitic								
aden1242	'Aden				Afro-Asiatic	Semitic								
ader1239	Aderawa				Afro-Asiatic	West Chadic								
adew1237	Adewada				Dravidian	South-Central Dravidian								
adga1237	Adgawan				Austronesian	Greater Central Philippine								
adha1237	Adham				Austronesian	Malayo-Sumbawan								
adha1238	Adhari		40.05	48.06	Indo-European	Iranian								
adho1243	Adhola	adh	0.73235	34.0341	Nilotic	Nilotic								
adib1240	Adibom				Atlantic-Congo	Cross River								
adid1237	Adi Dravida				Dravidian	Southern Dravidian								
adie1238	Adie				Atlantic-Congo	Bantoid								
adih1238	Adihup				Hatam-Mansim	Hatam								
adij1237	Adijaya				Austronesian	Central Malayo-Polynesian								
adim1238	Adim				Atlantic-Congo	Cross River								
adio1239	Adioukrou	adj	5.38228	-4.52522	Atlantic-Congo	Kwa	Kwa	False	False	Kwa	Kwa	Kwa	Kwa	Kwa
adiv1238	Adivasi Wagdi				Indo-European	Indic								
adiv1239	Kotia-Adivasi Oriya-Desiya	ort	18.1046	82.8487	Indo-European	Indic	Indic	False	False	Indo-European	Indo-Iranian	Indo-Aryan	Eastern Indo-Aryan	Oriya
adiw1235	Adiwasi Garasia	gas	24.0712	73.1426	Indo-European	Indic								
adiy1237	Adiya				Dravidian	Southern Dravidian								
adja1238	Adjabdurah				Pama-Nyungan	Central Pama-Nyungan								
adju1239	Adjumani				Central Sudanic	Moru-Ma'di								
adku1239	Adkuri				Indo-European	Indic								
adny1235	Adnyamathanha	adt	-30.1451	138.671	Pama-Nyungan	Central Pama-Nyungan	Central Pama-Nyungan	False	False	Pama-Nyungan	Southwestern Pama-Nyungan	Yura	Yura	Yura
adom1238	Adoma				Atlantic-Congo	Kainji								
adon1237	Adonara	adr	-8.32027	123.159	Austronesian	Central Malayo-Polynesian								
adoo1237	Ado				Austronesian	Celebic								
adoy1238	Adoyo				Nilotic	Nilotic								
adug1238	Aduge	adu	7.64567	6.13085	Bookkeeping									
adun1238	Adun				Atlantic-Congo	Cross River								
adur1234	Adurgari				Speech Register									
aduu1238	Adu				North Halmahera	North Halmaheran								
adyg1241	Adyghe	ady	44.0	39.33	Abkhaz-Adyge	Northwest Caucasian	Northwest Caucasian	False	False	West Caucasian	Circassian	Circassian	Circassian	Circassian
adze1240	Adzera	adz	-6.39394	146.294	Austronesian	Oceanic	Oceanic	False	False					
adze1241	Adzera (Retired)	azr			Bookkeeping					Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	North New Guinea linkage
adzh1238	Adzhar				Kartvelian	Kartvelian								
aegi1237	Aegina				Indo-European	Greek								
aeka1244	Aeka	aez	-8.855095	147.99477	Nuclear Trans New Guinea	Binanderean								
aeky1238	Aekyom	awi	-5.88478	141.532	Kamula-Elevala	Awin-Pare	Awin-Pare	False	False	Awin-Pare	Awin-Pare	Awin-Pare	Awin-Pare	Awin-Pare
aeol1234	Aeolic				Indo-European	Greek								
aequ1239	Aequian				Indo-European	Italic								
aerr1238	Aer	aeq	25.254	69.029	Indo-European	Indic								
aewa1238	Aewa (Western Province)				Anim	Marind Proper								
afaa1238	Afa				Atlantic-Congo	Defoid								
afad1236	Afade	aal	12.0551	14.6343	Afro-Asiatic	Biu-Mandara	Biu-Mandara	False	False	Chadic	Biu-Mandara (Central Chadic)	Biu-Mandara (Central Chadic)	Biu-Mandara (Central Chadic)	Biu-Mandara (Central Chadic)
afar1241	Afar	aar	12.2281	41.8083	Afro-Asiatic	Lowland East Cushitic	Lowland East Cushitic	False	False	Cushitic	Eastern Cushitic	Eastern Cushitic	Eastern Cushitic	Eastern Cushitic
afas1238	Af-Ashraaf				Afro-Asiatic	Lowland East Cushitic								
affa1240	Affade				Afro-Asiatic	Biu-Mandara								
affi1239	Affiniam				Atlantic-Congo	Northern Atlantic								
afgh1239	Afghan Sign Language	afg	34.434167	70.447778	Sign Language	Sign Languages								
afgh1240	Afghanistan Gorbat				Mixed Language	Afghanistan Gorbat								
afhe1238	Af-Helledi				Afro-Asiatic	Lowland East Cushitic								
afik1238	Afikpo				Atlantic-Congo	Igboid								
afit1238	Afitti	aft	12.446	30.7611	Nyimang	Nyimang								
afor1239	Afore				Koiarian	Koiarian								
afri1271	Afridi				Indo-European	Iranian								
afri1272	Afrike				Atlantic-Congo	Bantoid								
afri1274	Afrikaans	afr	-22.0	30.0	Indo-European	Germanic	Germanic	False	False	Indo-European	Germanic	West Germanic	West Germanic	West Germanic
afri1275	Afrihili	afh			Artificial Language									
afro1254	Afro-Seminole Creole	afs	31.7843	-99.2934	Indo-European	Creoles and Pidgins								
afsh1238	Afshari				Turkic	Turkic								
afud1235	Afudu		9.831149	11.296849	Atlantic-Congo	Platoid								
agaa1241	Aga				Mongolic-Khitan	Mongolic								
agal1241	Agalo				Gumuz	Gumuz								
agam1238	Agam				Austronesian	Malayo-Sumbawan								
agan1234	Agan				Uralic	Ugric								
agan1235	Agan Nenets				Uralic	Samoyedic								
agar1249	Agar				Nilotic	Nilotic								
agar1250	Agari of Kolaba				Indo-European	Indic								
agar1251	Agariya	agi	24.5024	82.297	Unattested									
agar1252	Agarabi	agd	-6.20604	145.917	Nuclear Trans New Guinea	Eastern Highlands	Eastern Highlands	False	False	Eastern Highlands	Kainantu	Kainantu	Kainantu	Kainantu
agat1236	Agatu	agc	7.97915	7.71639	Atlantic-Congo	Idomoid								
agau1239	Agaunshe				Atlantic-Congo	Kainji								
agav1236	Agavotaguerra	avo	-13.29849	-53.43936	Unattested									
agba1238	Agbarho				Atlantic-Congo	Edoid								
agbi1234	Agbirigba				Speech Register									
agbo1241	Agbome				Atlantic-Congo	Kwa								
agbo1242	Agbon				Atlantic-Congo	Edoid								
agee1238	Ageer				Nilotic	Nilotic								
aghe1239	Aghem	agq	6.38956	10.0807	Atlantic-Congo	Bantoid	Bantoid	False	False	Benue-Congo	Bantoid	Grassfields Bantu	Grassfields Bantu	Grassfields Bantu
agho1238	Agholo				Atlantic-Congo	Cross River								
aghu1253	Aghul	agx	41.9242	47.5843	Nakh-Daghestanian	Lezgic	Lezgic	False	False	Nakh-Daghestanian	Daghestanian	Lezgian	Samurian (core Lezgian)	Western Samurian
aghu1254	Aghu Tharnggalu	ggr	-13.735	142.426	Pama-Nyungan									
aghu1255	Aghu	ahh	-6.34674	140.043	Nuclear Trans New Guinea	Awju-Dumut	Awju-Dumut	False	False	Macro-Ok	Awyu-Dumut	Awyu-Dumut	Awyu-Dumut	Awyu-Dumut
aghu1256	Aghu Tharnggalu (Retired)	gtu	-15.0	144.0	Bookkeeping									
aghw1237	Aghwan	xag	40.374444	47.126667	Nakh-Daghestanian	Lezgic								
agii1244	Agi (Moru)				Central Sudanic	Moru-Ma'di								
agii1245	Agi	aif	-3.49104	142.387	Nuclear Torricelli	Wapei-Palei								
agob1244	Agob-Ende-Kawam	kit	-9.08521	142.532	Pahoturi	Pahoturi								
agob1245	Agöb				Pahoturi	Pahoturi								
agoi1244	Agoi (Gen)				Atlantic-Congo	Kwa								
agoi1246	Agoi	ibm	5.87953	8.21629	Atlantic-Congo	Cross River								
agon1238	Agona				Atlantic-Congo	Kwa								
agra1238	Agrab				Afro-Asiatic	East Chadic								
agta1234	Agta-Pahanan	apf	17.0538	122.2802	Austronesian	Northern Luzon								
agua1251	Aguano	aga	-5.25	-75.8333	Unattested									
agua1252	Aguacateco	agu	15.3307	-91.3153	Mayan	Mayan	Mayan	False	False	Mayan	Quichean-Mamean (Eastern Maya)	Mamean	Mamean	Mamean
agua1253	Aguaruna	agr	-5.30044	-77.9218	Chicham	Jivaroan	Jivaroan	False	False	Jivaroan	Jivaroan	Jivaroan	Jivaroan	Jivaroan
agua1254	Aguarico				Cofán	Cofán								
aguf1237	Agufi				Austronesian	Oceanic								
agul1243	Agulis				Indo-European	Armenian								
agul1244	Agul				Nakh-Daghestanian	Lezgic								
agul1245	Agulis-Meghri				Indo-European	Armenian								
agun1238	Aguna	aug	7.49256	1.74452	Atlantic-Congo	Kwa								
aguo1238	Aguok				Nilotic	Nilotic								
agus1235	Agusan Manobo	msm	8.62731	125.742	Austronesian	Greater Central Philippine								
agut1237	Agutaynen	agn	10.5328	119.655	Austronesian	Malayo-Polynesian								
aguu1241	Agu				Sino-Tibetan	Nungish								
aguu1242	Agu (Ewe)				Atlantic-Congo	Kwa								
agwa1246	Agwatashi				Atlantic-Congo	Idomoid								
agwa1247	Agwagwune	yay	5.81055	8.03166	Atlantic-Congo	Cross River								
ahaf1238	Ahafo				Atlantic-Congo	Kwa								
