NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS							
1	ABIU										
2	ABOVE	SPATIAL_RELATIONS	1741	ABOVE							
3	ACAI PALM	AGRICULTURE_AND_VEGETATION	2437	ACAI PALM							
4	AGOUTI	ANIMALS	313	AGOUTI							
5	AIMARA										
6	ALL	QUANTITY	98	ALL							
7	ALLIGATOR	ANIMALS	1581	ALLIGATOR							
8	AMAZON RIVER DOLPHIN	ANIMALS									
9	ANACONDA (WATER BOA)	ANIMALS	896	ANACONDA (WATER BOA)							
10	ANGER	EMOTIONS_AND_VALUES	82	ANGER							
11	ANGRY	EMOTIONS_AND_VALUES	1826	ANGRY							
12	ANIMAL	ANIMALS	619	ANIMAL							
13	ANT	ANIMALS	587	ANT							
14	ANT (SPECIES)	ANIMALS									
15	ANTEATER	ANIMALS	181	ANTEATER							
16	ANUS	THE_BODY	1935	ANUS							
17	APUNÃ										
18	ARACUÃ	ANIMALS									
19	ARM	THE_BODY	1673	ARM							
20	ARMADILLO	ANIMALS	1885	ARMADILLO							
21	ARMY ANT										
22	ARRIVE	MOTION	1387	ARRIVE							
23	ARROW	WARFARE_AND_HUNTING	977	ARROW							
24	ARUANÃ										
25	ASH	THE_PHYSICAL_WORLD	646	ASH							
26	AWAKE	THE_BODY	825	AWAKE							
27	AXE	BASIC_ACTIONS_AND_TECHNOLOGY	677	AXE							
28	BABAÇU (Attalea speciosa)	AGRICULTURE_AND_VEGETATION	3925	BABAÇU (Attalea speciosa)							
29	BACK	THE_BODY	1291	BACK							
30	BACURI										
31	BAD	EMOTIONS_AND_VALUES	1292	BAD							
32	BAMBOO	AGRICULTURE_AND_VEGETATION	1927	BAMBOO							
33	BANANA	AGRICULTURE_AND_VEGETATION	868	BANANA							
34	BARK	AGRICULTURE_AND_VEGETATION	1204	BARK							
35	BASKET	BASIC_ACTIONS_AND_TECHNOLOGY	1539	BASKET							
36	BAT	ANIMALS	1793	BAT							
37	BATHE	THE_BODY	138	BATHE							
38	BE	MISCELLANEOUS_FUNCTION_WORDS	1579	BE							
39	BE ALIVE	THE_BODY	1422	BE ALIVE							
40	BE ANGRY	EMOTIONS_AND_VALUES	2223	BE ANGRY							
41	BE HUNGRY	FOOD_AND_DRINK	1533	BE HUNGRY							
42	BEAD	CLOTHING_AND_GROOMING	1860	BEAD							
43	BEAK	THE_BODY	73	BEAK							
44	BEAUTIFUL	EMOTIONS_AND_VALUES	1427	BEAUTIFUL							
45	BECAUSE	MISCELLANEOUS_FUNCTION_WORDS	1157	BECAUSE							
46	BED	THE_HOUSE	1663	BED							
47	BEE	ANIMALS	665	BEE							
48	BEETLE	ANIMALS	2242	BEETLE							
49	BEGIN	TIME	1806	BEGIN							
50	BEHIND	SPATIAL_RELATIONS	1686	BEHIND							
51	BELCH	BASIC_ACTIONS_AND_TECHNOLOGY	2245	BELCH							
52	BELLY	THE_BODY	1251	BELLY							
53	BELOW OR UNDER	SPATIAL_RELATIONS	1485	BELOW OR UNDER							
54	BENCH	THE_HOUSE	2584	BENCH							
55	BIG	SPATIAL_RELATIONS	1202	BIG							
56	BIG LEAF CALATHEA	AGRICULTURE_AND_VEGETATION									
57	BIRD	ANIMALS	937	BIRD							
58	BIRD (SPECIES)	ANIMALS									
59	BITE	THE_BODY	1403	BITE							
60	BITTER	SENSE_PERCEPTION	887	BITTER							
61	BITTER MANIOC	AGRICULTURE_AND_VEGETATION									
62	BLACK	SENSE_PERCEPTION	163	BLACK							
