ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE
1	Arawa	AXE	barí	barí	b a r i	b a r i	217	217	AXE			
28	Banawa	AXE	bari	bari	b a r i	b a r i	217	217	AXE			
295	Deni	AXE	bari	bari	b a r i	b a r i	217	217	AXE			
637	Jamamadi	AXE	bari	bari	b a r i	b a r i	217	217	AXE			
908	Jarawara	AXE	bari	bari	b a r i	b a r i	217	217	AXE			
3457	Kulina	AXE	dzami / baɾi	dzami	dz a m i	dz a m i	180	5	AXE		YES	
4567	Kulina	AXE	dzami / baɾi	baɾi	b a ɾ i	b a ɾ i	217	217	AXE			
5166	Sorowaha	AXE	baaɾi	baaɾi	b aː ɾ i	b aː ɾ i	217	217	AXE			
10310	Katawishi	AXE	toɲhi	toɲhi	t o ɲ h i	t o ɲ h i	853	810	AXE			
10458	Proto-Arawan	AXE	bari	bari	b a r i	b a r i	217	217	AXE			
10989	Paumari	AXE	dʒori	dʒori	dʒ o r i	dʒ o r i	1053	1010	AXE			
11498	Arasairi	AXE	janej	janej	h a n e h	h a n e h	1202	1168	AXE			
12141	Paumari_1833	AXE	dʒiuri	dʒiuri	dʒ i u r i	dʒ i u r i	1053	1010	AXE			
13434	Amarakaeri	AXE	watey	watey	w a + t ei	w a + t ei	2156	532 2168	_NOMINALIZER AXE			
13864	Apurinã	AXE	kitai	kitai	k i t ai	k i t ai	2367	2364	AXE			
2	Arawa	GOOD	amoza	amoza	a m o z a	a m o z a	8	8	BE.GOOD			
34	Banawa	GOOD	amosa	amosa	a m o s a	a m o s a	8	8	BE.GOOD			
301	Deni	GOOD	amotsʰi	amotsʰi	a m o tsʰ i	a m o tsʰ i	8	8	BE.GOOD			
640	Jamamadi	GOOD	amosa	amosa	a m o s a	a m o s a	8	8	BE.GOOD			
914	Jarawara	GOOD	amosa	amosa	a m o s a	a m o s a	8	8	BE.GOOD			
10228	Paumari	GOOD	dʒaha / makʰani	dʒaha	dʒ a h a	dʒ a h a	806	763	BE.GOOD			
10230	Paumari	GOOD	dʒaha / makʰani	makʰani	m a kʰ a n i	m a kʰ a n i	805	762	BE.GOOD			
10390	Amarakaeri	GOOD	wandak	wandak	w a + nd a k	w a + nd a k	914	874	_NOMINALIZER GOOD			bound form
10427	Proto-Arawan	GOOD	amotsʰi	amotsʰi	a m o tsʰ i	a m o tsʰ i	8	8	BE.GOOD			
10509	Kanamari	GOOD	nuk	nuk	n u k	n u k	914	874	BE.GOOD			
10510	KatukinaBiá	GOOD	nuk	nuk	n u k	n u k	914	874	BE.GOOD			
10810	Katawishi	GOOD	ahã	ahã	a h ã	a h ã	806	763	BE.GOOD			
11499	Arasairi	GOOD	dakue	dakue	d a k + u e	d a k + u e	914	874 938	GOOD NEGATIVE			means 'bad'
11984	Kulina	GOOD	bika	bika	b i k a	b i k a	1468	354	BE.GOOD			
12452	Apurinã	GOOD	hareka	hareka	h a r e k a	h a r e k a	1712	1705	BE.GOOD			
12881	Sapiteri	GOOD	wandak	wandak	w a + nd a k	w a + nd a k	914	1598 874	NOMINALIZER GOOD			
13883	Sorowaha	GOOD	tidʒuːwa	tidʒuːwa	t i dʒ uː w a	t i dʒ uː w a	2385	2480	GOOD			
3	Arawa	FIRE	ʃihú	ʃihú	ʃ i h u	ʃ i h u	259	259	FIRE			
65	Banawa	FIRE	jiɸo	jifo	j i f o	j i f o	259	259	FIRE			
340	Deni	FIRE	jipho	jipho	j i pʰ o	j i pʰ o	259	259	FIRE			
669	Jamamadi	FIRE	jiɸo	jiɸo	j i ɸ o	j i ɸ o	259	259	FIRE			
963	Jarawara	FIRE	jiɸo	jiɸo	j i ɸ o	j i ɸ o	259	259	FIRE			
1323	Kulina	FIRE	jipʰo	jipʰo	j i pʰ o	j i pʰ o	259	259	FIRE			
1659	Paumari	FIRE	siho	siho	s i h o	s i h o	259	259	FIRE			
5144	Sorowaha	FIRE	abi	abi	a b i	a b i	1251	1251	FIRE			
10317	Katawishi	FIRE	nanhi	nanhi	n a n h i	n a n h i	860	817	FIRE			
10642	Proto-Arawan	FIRE	jipho	jipho	j i pʰ o	j i pʰ o	259	259	FIRE			
11852	Paumari_1833	FIRE	tʃiho	tʃiho	tʃ i h o	tʃ i h o	259	259	FIRE			
12012	Arasairi	FIRE	taak	taak	t a a k	t a a k	1482	1462	FIRE			
12453	Apurinã	FIRE	ʃãmɨna	ʃãmɨna	ʃ ã m ɨ n a	ʃ ã m ɨ n a	1713	1706	FIRE			
12882	Toyeri	FIRE	tak	tak	t a k	t a k	1482	1462	FIRE			
12883	Sapiteri	FIRE	tak	tak	t a k	t a k	1482	1462	FIRE			
13495	Amarakaeri	FIRE	taʔak	taʔak	t a ʔ a k	t a ʔ a k	1482	1462	FIRE			
4	Arawa	FISH	abaigaua	abaigaua	a b a + i g a u a	a b a + i g a u a	201	201 1472	FISH ?			
66	Banawa	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
341	Deni	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
670	Jamamadi	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
964	Jarawara	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
1324	Kulina	FISH	aba	aba	a b a	a b a - - - - -	201	201	FISH			
1660	Paumari	FISH	abaisana / dʒuriru / siraba	abaisana	a b a + i s a n a	a b a + i s a n a	201	201 1473	FISH ?			
5030	Sorowaha	FISH	aaba	aaba	aː b a	aː b a - - - - -	201	201	FISH			
10297	Proto-Arawan	FISH	aba	aba	a b a	a b a	201	201	FISH			
10387	Amarakaeri	FISH	mbiʔigŋ	mbiʔigŋ	mb i ʔ i gŋ	mb i ʔ i gŋ	912	872	FISH			
10988	Paumari	FISH	abaisana / dʒuriru / siraba	dʒuriru	dʒ u r i r u	dʒ u r i r u	1018	974	FISH			
12054	Paumari	FISH	abaisana / dʒuriru / siraba	siraba	s i r + a b a	s i r + a b a	1491	1471 201	? FISH			
12055	Paumari_1833	FISH	abaisana	abaisana	a b a + i s a n a	a b a + i s a n a	201	201 1473	FISH ?			
