# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS
#
44435	Kulina	(Indian) Person	madiha	madiha	m a d i h a	(INDIAN).PERSON	125	125
44436	Deni	(Indian) Person	madi	madi	m a d i	(INDIAN).PERSON	125	125
44437	Jarawara	(Indian) Person	mati	mati	m a t i	(INDIAN).PERSON	125	125
44438	Jamamadi	(Indian) Person	madi	madi	m a d i	(INDIAN).PERSON	125	125
#
44573	Kulina	(bitter) manioc	poʔo	poʔo	p o ʔ o	(BITTER).MANIOC	156	156
44574	Deni	(bitter) manioc	poʔo	poʔo	p o ʔ o	(BITTER).MANIOC	156	156
44575	Jarawara	(bitter) manioc	fowa	fowa	f o w a	(BITTER).MANIOC	156	156
44576	Banawa	(bitter) manioc	fowa	fowa	f o w a	(BITTER).MANIOC	156	156
44577	Jamamadi	(bitter) manioc	fowa	fowa	f o w a	(BITTER).MANIOC	156	156
#
44566	Deni	(his) wife	panadi	panadi	p a n a d i	(HIS).WIFE	154	154
44567	Jarawara	(his) wife	fati	fati	f a t i	(HIS).WIFE	154	154
44568	Banawa	(his) wife	fadi	fadi	f a d i	(HIS).WIFE	154	154
44569	Jamamadi	(his) wife	fadi	fadi	f a d i	(HIS).WIFE	154	154
#
1566	Kulina	(shoot with) blow-gun	karibehe	karibehe	k a r i b e h e	BLOW-GUN	104	104
1567	Deni	(shoot with) blow-gun	karibaha	karibaha	k a r i b a h a	BLOW-GUN	104	104
1568	Jarawara	(shoot with) blow-gun	karabowa	karabowa	k a r a b o w a	BLOW-GUN	104	104
1569	Banawa	(shoot with) blow-gun	karabowa	karabowa	k a r a b o w a	BLOW-GUN	104	104
1570	Jamamadi	(shoot with) blow-gun	karabowa	karabowa	k a r a b o w a	BLOW-GUN	104	104
#
477	Jarawara	I	owa	owa	o w a	I	340	340
478	Kulina	I	owa	owa	o w a	I	340	340
#
538	Banawa	Leaf	afe	afe	a f e	LEAF	11	11
539	Jamamadi	Leaf	afe	afe	a f e	LEAF	11	11
540	Jarawara	Leaf	afe	afe	a f e	LEAF	11	11
542	Deni	Leaf	apha	apha	a p h a	LEAF	11	11
543	Kulina	Leaf	apha	apha	a p h a	LEAF	11	11
#
497	Deni	abdomen	jehe	jehe	j e h e	ABDOMEN	0	0
#
1668	Kulina	accompaniment to food	tasha	tasha	t a s h a	unknown6	0	409
#
44637	Kulina	agouti (cutia)	shinama	shinama	s h i n a m a	AGOUTI.(CUTIA)	170	170
